woord;vertaling Engels;vertaling Arabisch;hoofdstuk;taak
meubels, de;furniture;مفروشات;4;taak 3
binnengaan;to go in(to);يذهب الى الداخل;5;taak 1
plattegrond, de;(street) map;خريطة (شارع);5;taak 1
kassa, de;check out;الدفع;5;taak 2
linkerkant, de;left side;الجهة اليسرى;5;taak 2
linksaf ;(to the) left;على اليسار;5;taak 2
pinnen;to pay with an ATM card;يدفع ببطاقة البنك;5;taak 2
rechtdoor;straight ahead;الى الامام;5;taak 2
rechtsaf  gaan;to turn right;يلتف يميناً;5;taak 2
zebrapad, het;pedestrian crossing, zebra crossing;ممر المشاة;5;taak 2
abonnement, het;season ticket;اشتراك;5;taak 3
benieuwd;curious;فضولي;5;taak 3
instappen;get in / on;يدخل الى;5;taak 3
korting, de;discount;حسم;5;taak 3
metro, de;subway, tube, underground;مترو الانفاق;5;taak 3
naartoe (waar gaat u naartoe?);to (where are you going to)?;الى (الى اين تذهب؟);5;taak 3
opladen;to charge;يشحن;5;taak 3
OV-chipkaart, de;e-purse for public transportation;بطاقة للدفع للمواصلات العامة;5;taak 3
overstappen;to change / to transfer;تغيير/ تبديل;5;taak 3
retour, het (trein);return trip / ticket;بطاقة ذهاب واياب;5;taak 3
wijzen (de weg)  *;to show the way;;5;taak 3
automaat, de;ticket machine;الة شراء البطاقات;5;taak 4
inchecken;to check in;;5;taak 4
rechterkant, de;right(-hand) side;الجهة اليمنى;5;taak 4
saldo, het;balance (here: travel with pay);;5;taak 4
uitchecken;to check out;;5;taak 4
bloes, de;blouse, shirt;قميص نسائي;6;intro
gympen, de;sneakers;حذاء رياضي;6;intro
spijkerbroek, de;jeans;جينز;6;intro
T-shirt, het;t-shirt;قميص قصير الكمين;6;intro
aanhebben;to wear;يرتدي;6;taak 1
hardlopen;to run;يركض;6;taak 1
lichtblauw;light blue;ازرق فاتح;6;taak 1
modeshow, de;fashion show;عرض ازياء;6;taak 1
overhemd, het ;shirt;قميص رجالي;6;taak 1
pet, de ;cap;قبعة;6;taak 1
stropdas, de;tie;ربطة عنق;6;taak 1
eruitzien ;to look ;يبدو;6;taak 2
pauze, de ;break;استراحة;6;taak 2
bon, de;the receipt;فاتورة/ ايصال;6;taak 3
eraf zijn (er is een knoop af);a button has come off;انقطع الزر;6;taak 3
rits, de;zip;سحاب;6;taak 3
tegoedbon, de;credit note;قسيمة;6;taak 3
teruggeven;to give back;يُعيد/ يُرجع;6;taak 3
teruggeven (geld);to refund;يعيد المال;6;taak 3
bushalte, de;bus stop;موقف الباص;6;taak 4
buurvrouw, de;neighbour (female);جارة;6;taak 4
kapper, de;hairdresser;حلاق;6;taak 4
bitterbal, de;type of croquette served as an appetizer;نوع مقبلات;7;taak 1
borrelhapje, het;snack, appetizer;مقبلات;7;taak 1
rondje, het (een rondje geven);round (to stand a round of drinks);جولة (يقدم جولة من المشروبات);7;taak 1
terugbellen;to call back;يعاود الاتصال;7;taak 1
appeltaart, de;apple pie;فطيرة التفاح;7;taak 2
biefstuk, de;steak;شريحة لحم;7;taak 2
buurjongen, de ;boy next door, boy living nearby;ابن الجيران;7;taak 2
dessert, het;dessert;حلويات;7;taak 2
garnaal, de ;shrimp, prawn;قريدس;7;taak 2
gebakken;baked, fried;مخبوز/ مقلي;7;taak 2
gegrild;grilled;مشوي;7;taak 2
hoofdgerecht, het;main course;الطبق الرئيسي;7;taak 2
sla, de;lettuce, salad;خس/ سلطة;7;taak 2
slagroom, de;whipping, whipped cream;كريمة;7;taak 2
taart, de;cake, pie;فطيرة;7;taak 2
tonijn, de;tuna;سمك التونة;7;taak 2
voorgerecht, het;first course, starter;مقبلات;7;taak 2
werkdag, de;working day;يوم عمل;7;taak 2
zalm, de;salmon;سمك السلمون;7;taak 2
aanstaande;next;القادم;7;taak 3
bruiloft, de;wedding;عرس;7;taak 3
diploma, het;diploma, certificate;شهادة;7;taak 3
hapje, het;bite;عضة;7;taak 3
om een uur of (twee);about (two) o' clock;حوالي الساعة الثانية;7;taak 3
voetbal, het;football;كرة القدم;7;taak 3
bang voor;afraid of;يخاف من;7;taak 4
openingstijden, de;opening hours;ساعات الدوام;7;taak 4
spannend;exciting;مثير;7;taak 4
